ticket_id,customer_id,opened_date,closed_date,issue_summary,status,priority,resolution_notes,category,assigned_agent,resolution_time_hours
TCK-1001,CUST-001,2025-07-10,2025-07-11,"Unable to login to account",Closed,High,"Reset password and cleared cache",Technical,Agent-23,4.5
TCK-1002,CUST-002,2025-07-05,2025-07-06,"Incorrect billing amount",Closed,Medium,"Refund issued and billing cycle corrected",Billing,Agent-11,8.2
TCK-1003,CUST-003,2025-07-01,,"Subscription renewal failed",Open,Urgent,,"Billing",Agent-07,
TCK-1004,CUST-004,2025-07-09,2025-07-09,"Two-factor authentication not working",Closed,High,"Re-synced device and verified settings",Technical,Agent-15,3.0
TCK-1005,CUST-005,2025-06-28,2025-07-02,"Request to downgrade plan",Closed,Low,"Processed downgrade request",Account,Agent-09,12.5
TCK-1006,CUST-006,2025-07-12,2025-07-14,"Item not delivered on time",Closed,High,"Contacted courier, expedited delivery",Delivery,Agent-18,15.0
TCK-1007,CUST-007,2025-07-11,2025-07-12,"Received damaged product",Closed,High,"Processed replacement order",Returns,Agent-14,10.5
TCK-1008,CUST-008,2025-07-08,2025-07-09,"Coupon code not working",Closed,Medium,"Issued manual discount",Billing,Agent-20,5.0
TCK-1009,CUST-002,2025-07-13,,"Refund not yet processed",Open,High,,"Billing",Agent-11,
TCK-1010,CUST-009,2025-07-10,2025-07-11,"Payment failed during checkout",Closed,High,"Resolved payment gateway issue",Billing,Agent-12,6.5
TCK-1011,CUST-010,2025-07-09,2025-07-10,"App crashing during order placement",Closed,Urgent,"Reported bug to dev team, provided workaround",Technical,Agent-08,20.0
TCK-1012,CUST-003,2025-07-14,,"Order stuck in processing",Pending,Medium,,"Orders",Agent-05,
TCK-1013,CUST-001,2025-07-13,2025-07-14,"Price difference after purchase",Closed,Low,"Issued partial refund",Billing,Agent-09,7.0
TCK-1014,CUST-011,2025-07-11,2025-07-12,"Account locked due to suspicious activity",Closed,High,"Verified identity and unlocked account",Account,Agent-23,6.0
TCK-1015,CUST-012,2025-07-07,2025-07-08,"Return request approval delay",Closed,Medium,"Approved return request manually",Returns,Agent-16,9.5
TCK-1016,CUST-013,2025-07-06,2025-07-06,"Delivery partner behavior complaint",Closed,Medium,"Escalated to logistics team",Delivery,Agent-19,4.0
TCK-1017,CUST-014,2025-07-05,2025-07-07,"Unable to update address",Closed,High,"Fixed backend address update issue",Account,Agent-22,8.0
TCK-1018,CUST-015,2025-07-08,2025-07-09,"Gift card not redeemable",Closed,Medium,"Issued new gift card",Billing,Agent-13,6.5
TCK-1019,CUST-016,2025-07-07,,"Item missing from package",Open,High,,"Returns",Agent-14,
TCK-1020,CUST-017,2025-07-10,2025-07-12,"Delivery delayed due to weather",Closed,Low,"Informed customer and rescheduled delivery",Delivery,Agent-18,14.0
TCK-1021,CUST-018,2025-07-12,2025-07-13,"Product warranty claim",Closed,Medium,"Processed warranty replacement",Returns,Agent-17,10.0
TCK-1022,CUST-019,2025-07-09,2025-07-09,"Invoice not received",Closed,Low,"Resent invoice email",Billing,Agent-20,2.5
TCK-1023,CUST-002,2025-07-14,,"Overcharged for shipping",Pending,Medium,,"Billing",Agent-11,
TCK-1024,CUST-020,2025-07-08,2025-07-09,"Subscription auto-renew error",Closed,High,"Corrected subscription settings",Account,Agent-09,7.5
TCK-1025,CUST-021,2025-07-11,2025-07-11,"Received wrong item",Closed,High,"Arranged pickup and replacement",Returns,Agent-14,6.0
TCK-1026,CUST-022,2025-07-05,2025-07-06,"App not showing latest offers",Closed,Low,"Cleared cache and refreshed offers",Technical,Agent-08,3.0
TCK-1027,CUST-023,2025-07-10,2025-07-11,"Need GST invoice for business",Closed,Low,"Generated and emailed GST invoice",Billing,Agent-13,2.5
TCK-1028,CUST-024,2025-07-09,2025-07-09,"Refund amount incorrect",Closed,Medium,"Corrected refund transaction",Billing,Agent-11,5.5
TCK-1029,CUST-001,2025-07-07,2025-07-08,"Item stuck at customs",Closed,High,"Coordinated with courier to clear customs",Delivery,Agent-19,16.0
TCK-1030,CUST-025,2025-07-12,2025-07-13,"Product out of stock after order placed",Closed,High,"Cancelled order and refunded amount",Orders,Agent-05,7.5
TCK-1031,CUST-026,2025-07-11,2025-07-12,"Login OTP not received",Closed,Medium,"Verified phone and resent OTP",Technical,Agent-23,3.5
TCK-1032,CUST-027,2025-07-13,,"Replacement delayed",Pending,High,,"Returns",Agent-16,
TCK-1033,CUST-028,2025-07-09,2025-07-10,"Multiple charges for one order",Closed,Urgent,"Issued refund for duplicate charges",Billing,Agent-11,10.0
TCK-1034,CUST-029,2025-07-07,2025-07-08,"Wishlist items disappeared",Closed,Low,"Restored wishlist items from backup",Technical,Agent-08,4.0
TCK-1035,CUST-030,2025-07-08,2025-07-09,"Unable to apply exchange offer",Closed,Medium,"Applied exchange manually",Returns,Agent-14,6.5
TCK-1036,CUST-031,2025-07-10,2025-07-11,"Refund taking too long",Closed,High,"Escalated to finance, refund processed",Billing,Agent-20,9.5
TCK-1037,CUST-032,2025-07-12,2025-07-12,"Late delivery compensation",Closed,Low,"Issued store credit",Delivery,Agent-18,3.0
TCK-1038,CUST-033,2025-07-11,2025-07-12,"Damaged packaging but product fine",Closed,Low,"Reported to courier, no action needed",Delivery,Agent-19,2.5
TCK-1039,CUST-034,2025-07-09,2025-07-09,"Product authenticity concern",Closed,High,"Verified authenticity with manufacturer",Returns,Agent-17,8.0
TCK-1040,CUST-035,2025-07-08,2025-07-08,"Item added to cart shows higher price",Closed,Medium,"Fixed pricing sync issue",Technical,Agent-08,5.0
TCK-1041,CUST-036,2025-07-07,2025-07-07,"Need help with bulk order",Closed,Low,"Connected with sales team for support",Orders,Agent-05,3.0
TCK-1042,CUST-037,2025-07-06,2025-07-07,"Exchange item not picked up",Closed,Medium,"Rescheduled pickup",Returns,Agent-16,6.5
TCK-1043,CUST-038,2025-07-05,2025-07-05,"Payment deducted but order not placed",Closed,Urgent,"Manual order creation done",Billing,Agent-12,9.0
TCK-1044,CUST-039,2025-07-10,2025-07-11,"Delivery attempted but failed",Closed,High,"Re-attempted delivery successfully",Delivery,Agent-18,5.0
TCK-1045,CUST-040,2025-07-11,2025-07-12,"Refund credited to wrong account",Closed,High,"Corrected account details and reissued refund",Billing,Agent-20,8.5
TCK-1046,CUST-041,2025-07-09,2025-07-09,"Requesting invoice split",Closed,Low,"Provided split invoices via email",Billing,Agent-13,3.5
TCK-1047,CUST-042,2025-07-08,2025-07-09,"Email notifications not received",Closed,Medium,"Checked preferences, re-enabled notifications",Technical,Agent-08,4.5
TCK-1048,CUST-043,2025-07-07,2025-07-08,"Product received different color",Closed,High,"Arranged correct item exchange",Returns,Agent-14,7.0
TCK-1049,CUST-044,2025-07-06,2025-07-07,"Unable to track order",Closed,Medium,"Shared updated tracking link",Delivery,Agent-18,3.5
TCK-1050,CUST-045,2025-07-12,2025-07-13,"Item returned but refund pending",Closed,High,"Confirmed receipt and processed refund",Returns,Agent-16,8.0
