order_id,customer_id,order_date,product_name,product_category,quantity,unit_price,total_amount,payment_status,delivery_status,payment_method,shipping_address
ORD-0001,CUST-001,2025-07-10,Noise Cancelling Headphones,Electronics,1,199.99,199.99,Paid,Delivered,Credit Card,"New York, USA"
ORD-0002,CUST-004,2025-07-12,Fitness Tracker,Wearables,2,79.99,159.98,Paid,Delivered,PayPal,"Los Angeles, USA"
ORD-0003,CUST-015,2025-07-11,Organic Cotton T-Shirt,Clothing,3,25.0,75.0,Paid,Shipped,Credit Card,"Hanoi, Vietnam"
ORD-0004,CUST-010,2025-07-09,Wireless Mouse,Electronics,1,29.99,29.99,Paid,Delivered,Wallet,"Seoul, South Korea"
ORD-0005,CUST-022,2025-07-08,Laptop Stand,Accessories,1,45.5,45.5,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0006,CUST-007,2025-07-12,Smartphone,Electronics,1,699.0,699.0,Paid,Delivered,Credit Card,"Sydney, Australia"
ORD-0007,CUST-019,2025-07-11,Blender,Home Appliances,1,120.0,120.0,Paid,Processing,PayPal,"Miami, USA"
ORD-0008,CUST-032,2025-07-10,Notebook Set,Stationery,5,4.5,22.5,Paid,Delivered,Wallet,"Boston, USA"
ORD-0009,CUST-046,2025-07-09,Projector,Electronics,1,350.0,350.0,Paid,Shipped,Bank Transfer,"Dallas, USA"
ORD-0010,CUST-013,2025-07-08,Ceramic Vase,Home Decor,2,30.0,60.0,Paid,Delivered,Credit Card,"San Francisco, USA"
ORD-0011,CUST-025,2025-07-07,Running Shoes,Footwear,1,90.0,90.0,Paid,Delivered,PayPal,"Denver, USA"
ORD-0012,CUST-037,2025-07-10,External Hard Drive,Electronics,1,80.0,80.0,Paid,Shipped,Credit Card,"Austin, USA"
ORD-0013,CUST-009,2025-07-11,Instant Camera,Electronics,1,120.0,120.0,Paid,Delivered,Bank Transfer,"Rome, Italy"
ORD-0014,CUST-044,2025-07-08,Desk Lamp,Furniture,1,35.0,35.0,Paid,Delivered,Wallet,"Seattle, USA"
ORD-0015,CUST-002,2025-07-09,Leather Wallet,Accessories,1,40.0,40.0,Paid,Processing,Credit Card,"Mumbai, India"
ORD-0016,CUST-030,2025-07-12,Electric Kettle,Home Appliances,1,25.0,25.0,Paid,Delivered,PayPal,"Houston, USA"
ORD-0017,CUST-020,2025-07-11,Office Chair,Furniture,1,180.0,180.0,Paid,Delivered,Bank Transfer,"Atlanta, USA"
ORD-0018,CUST-016,2025-07-10,Travel Backpack,Bags,1,70.0,70.0,Paid,Shipped,Credit Card,"Madrid, Spain"
ORD-0019,CUST-008,2025-07-09,Wireless Charger,Electronics,2,15.0,30.0,Paid,Delivered,Wallet,"Barcelona, Spain"
ORD-0020,CUST-014,2025-07-08,Espresso Machine,Home Appliances,1,250.0,250.0,Paid,Delivered,PayPal,"London, UK"
ORD-0021,CUST-003,2025-07-07,Noise Cancelling Earbuds,Electronics,1,150.0,150.0,Paid,Returned,Bank Transfer,"Manchester, UK"
ORD-0022,CUST-040,2025-07-09,Smartwatch,Wearables,1,199.0,199.0,Paid,Delivered,Credit Card,"Phoenix, USA"
